,,,(%),,IBT formula,,,,,,,,64,64,64,32,32,32
Avg Packet Size,Bw ,Ports,Loss Rate,E(Packets lost),Cells per digest,Digest Size KB,Switch Memory (MB),Number cells 32 bits,Number cells 64 bits,# Registers 32,# Registers 64,Stages/Tofino1,Time to read,Time to reset,total time,Time to read,Time to reset,total time
64,100,32,0.1,1953.125,2539.0625,39.67285156,4.959106,1300000.000000,650000.000000,9.068080,9.068080,6.752826,0.083744,0.009271,0.093015,0.143180,0.009304,0.152484
64,100,32,0.2,3906.25,5078.125,79.34570313,9.918213,2600000.000000,1300000.000000,18.136161,18.136161,13.505652,0.167487,0.009271,0.176758,0.286361,0.009304,0.295665
64,100,32,0.3,5859.375,7617.1875,119.0185547,14.877319,3900000.000000,1950000.000000,27.204241,27.204241,20.258477,0.251231,0.009271,0.260502,0.429541,0.009304,0.438845
64,100,32,0.4,7812.5,10156.25,158.6914063,19.836426,5200000.000000,2600000.000000,36.272321,36.272321,27.011303,0.334975,0.009271,0.344246,0.572722,0.009304,0.582026
64,100,32,0.5,9765.625,12695.3125,198.3642578,24.795532,6500000.000000,3250000.000000,45.340402,45.340402,33.764129,0.418719,0.009271,0.427990,0.715902,0.009304,0.725206
64,100,32,0.6,11718.75,15234.375,238.0371094,29.754639,7800000.000000,3900000.000000,54.408482,54.408482,40.516955,0.502462,0.009271,0.511733,0.859083,0.009304,0.868387
64,100,32,0.7,13671.875,17773.4375,277.7099609,34.713745,9100000.000000,4550000.000000,63.476563,63.476563,47.269781,0.586206,0.009271,0.595477,1.002263,0.009304,1.011567
64,100,32,0.8,15625,20312.5,317.3828125,39.672852,10400000.000000,5200000.000000,72.544643,72.544643,54.022606,0.669950,0.009271,0.679221,1.145444,0.009304,1.154748
64,100,32,0.9,17578.125,22851.5625,357.0556641,44.631958,11700000.000000,5850000.000000,81.612723,81.612723,60.775432,0.753693,0.009271,0.762964,1.288624,0.009304,1.297928
64,100,32,1,19531.25,25390.625,396.7285156,49.591064,13000000.000000,6500000.000000,90.680804,90.680804,67.528258,0.837437,0.009271,0.846708,1.431805,0.009304,1.441109
128,100,32,0.1,976.5625,1269.53125,19.83642578,2.479553,650000.000000,325000.000000,4.534040,4.534040,3.376413,0.041872,0.009271,0.051143,0.071590,0.009304,0.080894
128,100,32,0.2,1953.125,2539.0625,39.67285156,4.959106,1300000.000000,650000.000000,9.068080,9.068080,6.752826,0.083744,0.009271,0.093015,0.143180,0.009304,0.152484
128,100,32,0.3,2929.6875,3808.59375,59.50927734,7.438660,1950000.000000,975000.000000,13.602121,13.602121,10.129239,0.125616,0.009271,0.134887,0.214771,0.009304,0.224075
128,100,32,0.4,3906.25,5078.125,79.34570313,9.918213,2600000.000000,1300000.000000,18.136161,18.136161,13.505652,0.167487,0.009271,0.176758,0.286361,0.009304,0.295665
128,100,32,0.5,4882.8125,6347.65625,99.18212891,12.397766,3250000.000000,1625000.000000,22.670201,22.670201,16.882064,0.209359,0.009271,0.218630,0.357951,0.009304,0.367255
128,100,32,0.6,5859.375,7617.1875,119.0185547,14.877319,3900000.000000,1950000.000000,27.204241,27.204241,20.258477,0.251231,0.009271,0.260502,0.429541,0.009304,0.438845
128,100,32,0.7,6835.9375,8886.71875,138.8549805,17.356873,4550000.000000,2275000.000000,31.738281,31.738281,23.634890,0.293103,0.009271,0.302374,0.501132,0.009304,0.510436
128,100,32,0.8,7812.5,10156.25,158.6914063,19.836426,5200000.000000,2600000.000000,36.272321,36.272321,27.011303,0.334975,0.009271,0.344246,0.572722,0.009304,0.582026
128,100,32,0.9,8789.0625,11425.78125,178.527832,22.315979,5850000.000000,2925000.000000,40.806362,40.806362,30.387716,0.376847,0.009271,0.386118,0.644312,0.009304,0.653616
128,100,32,1,9765.625,12695.3125,198.3642578,24.795532,6500000.000000,3250000.000000,45.340402,45.340402,33.764129,0.418719,0.009271,0.427990,0.715902,0.009304,0.725206
256,100,32,0.1,488.28125,634.765625,9.918212891,1.239777,325000.000000,162500.000000,2.267020,2.267020,1.688206,0.020936,0.009271,0.030207,0.035795,0.009304,0.045099
256,100,32,0.2,976.5625,1269.53125,19.83642578,2.479553,650000.000000,325000.000000,4.534040,4.534040,3.376413,0.041872,0.009271,0.051143,0.071590,0.009304,0.080894
256,100,32,0.3,1464.84375,1904.296875,29.75463867,3.719330,975000.000000,487500.000000,6.801060,6.801060,5.064619,0.062808,0.009271,0.072079,0.107385,0.009304,0.116689
256,100,32,0.4,1953.125,2539.0625,39.67285156,4.959106,1300000.000000,650000.000000,9.068080,9.068080,6.752826,0.083744,0.009271,0.093015,0.143180,0.009304,0.152484
256,100,32,0.5,2441.40625,3173.828125,49.59106445,6.198883,1625000.000000,812500.000000,11.335100,11.335100,8.441032,0.104680,0.009271,0.113951,0.178976,0.009304,0.188280
256,100,32,0.6,2929.6875,3808.59375,59.50927734,7.438660,1950000.000000,975000.000000,13.602121,13.602121,10.129239,0.125616,0.009271,0.134887,0.214771,0.009304,0.224075
256,100,32,0.7,3417.96875,4443.359375,69.42749023,8.678436,2275000.000000,1137500.000000,15.869141,15.869141,11.817445,0.146552,0.009271,0.155823,0.250566,0.009304,0.259870
